EVENTID,TYPE,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   _1,TYPE  ,MAG 
837197,ke  ,ISC      ,4/28/1967,7:38:29 PM,27.9012,57.4178,26.9,,ISC      ,mb    ,4.5
834195,ke  ,ISC      ,6/7/1967,10:35:15 PM,26.9976,58.0747,10,TRUE,USCGS    ,mb    ,4.4
833702,ke  ,ISC      ,7/25/1967,1:00:37 PM,28.8254,54.5666,10,TRUE,ISC      ,mb    ,4.7
831256,ke  ,ISC      ,9/14/1967,2:49:44 PM,28.4496,57.1273,32.5,,ISC      ,mb    ,4.6
827136,ke  ,ISC      ,1/10/1968,10:43:46 AM,27.4911,55.9751,15,TRUE,USCGS    ,mb    ,4.6
824235,ke  ,ISC      ,4/23/1968,12:39:00 PM,27.833,56.6853,28,TRUE,ISC      ,mb    ,4.9
824236,ke  ,ISC      ,4/23/1968,12:39:46 PM,27.7374,56.8,24.8,,ISC      ,mb    ,5.3
823237,ke  ,ISC      ,5/30/1968,1:10:31 AM,27.78,53.8796,25.7,,ISC      ,mb    ,5.2
818804,ke  ,ISC      ,7/8/1968,11:27:24 AM,28.027,56.9684,24,TRUE,ISC      ,mb    ,4.8
818340,ke  ,ISC      ,8/26/1968,5:59:08 AM,26.618,55.2724,10,TRUE,USCGS    ,mb    ,4.6
809846,ke  ,ISC      ,4/14/1969,1:13:21 PM,27.7296,54.7318,17,TRUE,ISC      ,mb    ,4.9
808859,ke  ,ISC      ,5/12/1969,7:09:10 PM,27.9081,56.5056,40,,ISC      ,mb    ,4.8
808225,ke  ,ISC      ,6/21/1969,4:35:09 PM,27.4636,57.5547,58.2,,ISC      ,mb    ,5.2
806617,ke  ,ISC      ,7/1/1969,6:00:48 AM,28.2218,55.6101,22,TRUE,ISC      ,mb    ,4.8
807268,ke  ,ISC      ,7/20/1969,10:37:30 PM,28.1721,57.5926,51.7,,ISC      ,mb    ,4.8
799367,ke  ,ISC      ,2/23/1970,11:22:29 AM,27.8271,54.5139,23.8,,ISC      ,mb    ,5.6
799549,ke  ,ISC      ,2/28/1970,7:58:48 PM,27.7728,56.3118,18.7,,ISC      ,mb    ,5.5
797585,ke  ,ISC      ,3/6/1970,7:40:06 PM,28.2514,57.4898,43,TRUE,ISC      ,mb    ,4.7
797810,ke  ,ISC      ,3/10/1970,10:06:23 PM,28.4607,57.6813,43,TRUE,ISC      ,mb    ,4.7
